"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
4,1,2,"prevalence",0.3,"power",0.3,0.07,0.26,0.07,0.06,0.11,0.03,0.03,0.03,0.22,0.08
4,1,2,"prevalence",0.35,"power",0.48,0.05,0.29,0.04,0.11,0.24,0.05,0.04,0.04,0.37,0.06
4,1,2,"prevalence",0.4,"power",0.52,0.09,0.34,0.08,0.22,0.31,0.13,0.12,0.12,0.42,0.13
4,1,2,"prevalence",0.45,"power",0.81,0.07,0.52,0.07,0.09,0.37,0.03,0.02,0.03,0.69,0.05
4,1,2,"prevalence",0.5,"power",0.87,0.05,0.58,0.04,0.19,0.49,0.08,0.04,0.1,0.79,0.05
4,1,2,"prevalence",0.55,"power",0.98,0.05,0.57,0.07,0.27,0.66,0.11,0.06,0.12,0.95,0.06
4,1,2,"prevalence",0.6,"power",0.99,0.06,0.71,0.04,0.32,0.82,0.05,0.08,0.06,0.98,0.08
4,2,1,"abundance",0.05,"power",0.07,0.05,0.04,0.06,0.06,0.07,0.08,0.06,0.07,0.02,0.07
4,2,1,"abundance",0.1,"power",0.01,0.05,0.04,0.03,0.04,0.01,0.02,0.05,0.03,0.02,0.05
4,2,1,"abundance",0.15,"power",0.05,0.15,0.03,0.17,0.1,0.05,0.06,0.07,0.05,0.04,0.14
4,2,1,"abundance",0.2,"power",0.06,0.14,0.04,0.17,0.14,0.06,0.09,0.1,0.11,0.07,0.17
4,2,1,"abundance",0.25,"power",0.05,0.28,0.04,0.26,0.2,0.06,0.07,0.08,0.05,0.08,0.28
4,2,1,"abundance",0.3,"power",0.04,0.5,0.04,0.5,0.4,0,0.16,0.12,0.15,0.05,0.47
4,2,1,"abundance",0.35,"power",0.03,0.53,0.03,0.53,0.44,0.07,0.2,0.09,0.19,0.04,0.52
4,2,1,"abundance",0.4,"power",0.07,0.62,0.04,0.63,0.53,0.08,0.22,0.16,0.21,0.09,0.62
4,2,1,"abundance",0.45,"power",0.06,0.71,0.07,0.73,0.69,0.09,0.34,0.19,0.32,0.04,0.76
4,2,1,"abundance",0.5,"power",0.04,0.85,0.05,0.84,0.86,0.1,0.45,0.29,0.42,0.04,0.85
4,2,1,"abundance",0.55,"power",0.05,0.81,0.06,0.87,0.87,0.07,0.51,0.29,0.5,0.04,0.89
4,2,1,"abundance",0.6,"power",0.05,0.91,0.05,0.9,0.96,0.12,0.58,0.32,0.55,0.06,0.95
4,2,1,"both",0.05,"power",0.07,0.06,0.08,0.06,0.04,0.03,0.05,0.02,0.06,0.05,0.04
4,2,1,"both",0.1,"power",0.09,0.07,0.08,0.07,0.08,0.08,0.04,0.03,0.04,0.07,0.07
4,2,1,"both",0.15,"power",0.09,0.19,0.1,0.23,0.14,0.08,0.04,0.02,0.05,0.05,0.19
4,2,1,"both",0.2,"power",0.09,0.3,0.09,0.31,0.32,0.13,0.17,0.05,0.19,0.06,0.33
4,2,1,"both",0.25,"power",0.16,0.48,0.24,0.53,0.47,0.13,0.16,0.12,0.15,0.1,0.5
4,2,1,"both",0.3,"power",0.27,0.65,0.27,0.64,0.64,0.44,0.35,0.19,0.28,0.21,0.67
4,2,1,"both",0.35,"power",0.55,0.73,0.39,0.75,0.82,0.54,0.34,0.08,0.37,0.29,0.79
4,2,1,"both",0.4,"power",0.76,0.79,0.32,0.78,0.91,0.79,0.38,0.06,0.39,0.49,0.85
4,2,1,"both",0.45,"power",0.81,0.86,0.58,0.87,0.96,0.85,0.58,0.2,0.54,0.53,0.91
4,2,1,"both",0.5,"power",0.93,0.98,0.53,0.98,1,0.93,0.72,0.32,0.67,0.74,1
4,2,1,"both",0.55,"power",0.99,0.99,0.7,0.99,1,0.99,0.9,0.49,0.87,0.88,0.99
4,2,1,"both",0.6,"power",1,1,0.85,0.98,1,1,0.93,0.43,0.91,0.99,1
4,2,1,"prevalence",0.05,"power",0.06,0.03,0.03,0.02,0.02,0.03,0.06,0.04,0.06,0.07,0.02
4,2,1,"prevalence",0.1,"power",0.02,0.08,0.04,0.06,0.09,0.06,0.06,0.07,0.06,0.02,0.11
4,2,1,"prevalence",0.15,"power",0.07,0.03,0.11,0.03,0.02,0.08,0.05,0.09,0.05,0.04,0.02
4,2,1,"prevalence",0.2,"power",0.14,0.05,0.1,0.04,0.05,0.1,0.03,0.03,0.05,0.18,0.05
4,2,1,"prevalence",0.25,"power",0.21,0.08,0.18,0.1,0.04,0.13,0.02,0.02,0.03,0.13,0.03
4,2,1,"prevalence",0.3,"power",0.32,0.07,0.24,0.08,0.12,0.19,0.06,0.06,0.05,0.21,0.11
4,2,1,"prevalence",0.35,"power",0.53,0.11,0.41,0.11,0.14,0.31,0.1,0.05,0.1,0.33,0.13
4,2,1,"prevalence",0.4,"power",0.66,0.09,0.52,0.07,0.16,0.33,0.09,0.06,0.07,0.38,0.1
4,2,1,"prevalence",0.45,"power",0.92,0.08,0.63,0.08,0.17,0.52,0.04,0.03,0.06,0.69,0.11
4,2,1,"prevalence",0.5,"power",0.93,0.1,0.66,0.1,0.12,0.62,0.1,0.04,0.08,0.72,0.12
4,2,1,"prevalence",0.55,"power",1,0.13,0.65,0.12,0.35,0.87,0.13,0.06,0.14,0.91,0.15
4,2,1,"prevalence",0.6,"power",1,0.18,0.82,0.17,0.4,0.96,0.13,0.06,0.12,0.96,0.22
4,3,4,"abundance",0.05,"power",0.02,0.02,0.07,0.03,0.03,0.04,0.07,0.04,0.08,0.04,0.04
4,3,4,"abundance",0.1,"power",0.07,0.05,0.09,0.06,0.03,0.05,0.03,0.04,0.03,0.07,0.04
4,3,4,"abundance",0.15,"power",0.04,0.06,0.05,0.06,0.08,0.06,0.08,0.07,0.07,0.04,0.07
4,3,4,"abundance",0.2,"power",0.05,0.04,0.03,0.06,0.06,0.07,0.05,0.02,0.05,0.07,0.05
4,3,4,"abundance",0.25,"power",0.05,0.06,0.05,0.07,0.07,0.03,0.1,0.03,0.08,0.07,0.08
4,3,4,"abundance",0.3,"power",0.02,0.09,0.03,0.12,0.15,0.03,0.11,0.05,0.09,0.02,0.13
4,3,4,"abundance",0.35,"power",0.05,0.04,0.04,0.11,0.16,0.08,0.12,0.05,0.11,0.07,0.12
4,3,4,"abundance",0.4,"power",0.08,0.07,0.08,0.11,0.22,0.02,0.12,0.08,0.12,0.04,0.12
4,3,4,"abundance",0.45,"power",0.04,0.12,0.03,0.12,0.29,0.05,0.18,0.12,0.17,0.04,0.16
4,3,4,"abundance",0.5,"power",0,0.21,0.04,0.24,0.41,0.07,0.26,0.09,0.24,0.02,0.33
4,3,4,"abundance",0.55,"power",0.09,0.21,0.05,0.2,0.51,0.13,0.3,0.11,0.27,0.04,0.35
4,3,4,"abundance",0.6,"power",0.07,0.28,0.09,0.25,0.6,0.12,0.43,0.14,0.44,0.09,0.48
4,3,4,"both",0.05,"power",0.05,0.05,0.04,0.05,0.07,0.06,0.08,0.07,0.1,0.02,0.07
4,3,4,"both",0.1,"power",0.06,0.08,0.06,0.07,0.09,0.01,0.05,0.06,0.06,0.04,0.08
4,3,4,"both",0.15,"power",0.09,0.08,0.12,0.08,0.07,0.08,0.1,0.08,0.11,0.11,0.07
4,3,4,"both",0.2,"power",0.06,0.06,0.14,0.06,0.13,0.07,0.05,0.05,0.01,0.1,0.05
4,3,4,"both",0.25,"power",0.21,0.07,0.22,0.09,0.24,0.17,0.12,0.08,0.11,0.26,0.13
4,3,4,"both",0.3,"power",0.25,0.1,0.21,0.13,0.32,0.23,0.1,0.06,0.1,0.29,0.17
4,3,4,"both",0.35,"power",0.38,0.12,0.32,0.14,0.53,0.29,0.16,0.08,0.16,0.5,0.2
4,3,4,"both",0.4,"power",0.61,0.28,0.44,0.18,0.73,0.55,0.27,0.06,0.26,0.64,0.46
