"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","n_otu","avg_silhouette","mean_relative_abundance","mean_prevalence","within_cop_n_pair","within_cop_mean","within_cop_sd","within_cop_min","within_cop_q1","within_cop_median","within_cop_q3","within_cop_max","within_cop_iqr","lower_whisker","upper_whisker","n_outlier","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
2,1,1,"prevalence",0.3,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.64,0.08,0.78,0.08,0.13,0.32,0.07,0.02,0.07,0.53,0.09
2,1,1,"prevalence",0.35,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.91,0.11,0.95,0.12,0.14,0.32,0.09,0.04,0.07,0.8,0.11
2,1,1,"prevalence",0.4,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,0.99,0.08,0.96,0.05,0.21,0.52,0.06,0.05,0.05,0.95,0.07
2,1,1,"prevalence",0.45,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.08,0.99,0.08,0.29,0.76,0.12,0.03,0.12,1,0.11
2,1,1,"prevalence",0.5,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.1,1,0.1,0.38,0.84,0.12,0.09,0.11,1,0.14
2,1,1,"prevalence",0.55,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.14,1,0.11,0.54,0.92,0.11,0.07,0.11,1,0.15
2,1,1,"prevalence",0.6,"power",308,0.218226977449767,0.00163073512782414,0.157034632034632,47278,0.339971894862239,0.0553879630681746,0,0.33809383715,0.354951452555,0.3732014576198,0.3732014576568,0.0351076204697999,0.2876996158,0.3732014576568,5393,1,0.17,0.99,0.14,0.64,0.98,0.15,0.07,0.16,1,0.21
2,2,2,"abundance",0,"type1_error",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.06,0.05,0.03,0.08,0.04,0.03,0.07,0.05,0.06,0.05,0.04
2,2,2,"abundance",0.05,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.03,0.08,0.05,0.06,0.06,0.05,0.07,0.09,0.07,0.02,0.06
2,2,2,"abundance",0.1,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.07,0.09,0.05,0.07,0.08,0.03,0.07,0.05,0.08,0.06,0.12
2,2,2,"abundance",0.15,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.01,0.1,0.04,0.1,0.08,0.03,0.07,0.11,0.06,0.05,0.1
2,2,2,"abundance",0.2,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.03,0.13,0.05,0.16,0.08,0.04,0.04,0.05,0.04,0.02,0.15
2,2,2,"abundance",0.25,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.07,0.24,0.04,0.27,0.25,0.09,0.12,0.08,0.1,0.09,0.26
2,2,2,"abundance",0.3,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.05,0.34,0.05,0.36,0.32,0.09,0.17,0.09,0.15,0.06,0.34
2,2,2,"abundance",0.35,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.05,0.47,0.05,0.49,0.54,0.04,0.24,0.19,0.23,0.02,0.55
2,2,2,"abundance",0.4,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.03,0.52,0.02,0.53,0.6,0.07,0.23,0.11,0.23,0.06,0.57
2,2,2,"abundance",0.45,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.03,0.63,0.08,0.63,0.79,0.16,0.37,0.15,0.37,0.03,0.74
2,2,2,"abundance",0.5,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.04,0.77,0,0.81,0.81,0.08,0.41,0.17,0.4,0.02,0.83
2,2,2,"abundance",0.55,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.06,0.87,0.04,0.9,0.95,0.12,0.58,0.23,0.57,0.05,0.93
2,2,2,"abundance",0.6,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.08,0.89,0.05,0.94,0.99,0.18,0.66,0.29,0.64,0.07,0.95
2,2,2,"both",0,"type1_error",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.05,0.04,0.04,0.07,0.03,0.03,0.02,0.06,0.02,0.05,0.02
2,2,2,"both",0.05,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.06,0.02,0.1,0.02,0.04,0.04,0.06,0.05,0.08,0.08,0.02
2,2,2,"both",0.1,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.06,0.09,0.21,0.12,0.07,0.08,0.09,0.02,0.08,0.06,0.07
2,2,2,"both",0.15,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.19,0.16,0.36,0.23,0.21,0.15,0.12,0.09,0.12,0.17,0.21
2,2,2,"both",0.2,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.25,0.23,0.57,0.24,0.35,0.2,0.19,0.04,0.16,0.18,0.28
2,2,2,"both",0.25,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.46,0.35,0.84,0.39,0.57,0.32,0.21,0.13,0.2,0.36,0.44
2,2,2,"both",0.3,"power",308,0.0713791485264717,0.00161601811892911,0.123971861471861,47278,0.404498026108802,0.128533742579924,0,0.322253966022,0.426094342327,0.4260943423778,0.8035527425968,0.1038403763558,0.16708205935,0.5773720170408,3681,0.74,0.61,0.92,0.65,0.83,0.52,0.32,0.12,0.3,0.65,0.7
