"k","signal_cluster","cluster_ordered","signal_mode","beta","summary_type","GLaD_0.5_unweighted","GLaD_0.5_weighted","GLaD_1_unweighted","GLaD_1_weighted","GUniFrac","aitchison","bray","euclidean","jaccard","unifrac_unweighted","unifrac_weighted_phyloseq"
10,10,2,"prevalence",0,"type1_error",0.03,0.09,0.02,0.11,0.04,0.03,0.02,0.05,0.03,0.04,0.07
12,1,4,"abundance",0,"type1_error",0.06,0.03,0.04,0.06,0.06,0.02,0.05,0.03,0.04,0.04,0.03
12,1,4,"both",0,"type1_error",0.03,0.08,0.05,0.05,0.08,0.04,0.08,0.07,0.08,0.07,0.09
12,1,4,"prevalence",0,"type1_error",0.01,0.02,0.05,0.01,0.06,0.02,0.04,0.06,0.04,0,0.03
12,2,1,"abundance",0,"type1_error",0.07,0.06,0.07,0.04,0.05,0.09,0.04,0.02,0.03,0.05,0.05
12,2,1,"both",0,"type1_error",0.01,0.05,0.01,0.05,0.08,0.04,0.05,0.04,0.04,0.03,0.06
12,2,1,"prevalence",0,"type1_error",0.04,0.02,0.07,0.04,0.06,0.06,0.05,0.01,0.05,0.05,0.03
12,3,12,"abundance",0,"type1_error",0.07,0.05,0.01,0.04,0.03,0.05,0.04,0.03,0.05,0.06,0.04
12,3,12,"both",0,"type1_error",0.05,0.04,0.07,0.01,0.04,0.08,0.05,0.07,0.04,0.05,0.04
12,3,12,"prevalence",0,"type1_error",0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.06,0.06
12,4,3,"abundance",0,"type1_error",0.05,0.06,0,0.04,0.04,0.08,0.08,0.07,0.08,0.07,0.06
12,4,3,"both",0,"type1_error",0.03,0.06,0.03,0.07,0.04,0.05,0.09,0.05,0.09,0.01,0.07
12,4,3,"prevalence",0,"type1_error",0.01,0.05,0.07,0.04,0.08,0.03,0.05,0.08,0.04,0.04,0.06
12,5,6,"abundance",0,"type1_error",0.07,0.05,0.02,0.03,0.08,0.02,0.06,0.06,0.06,0.03,0.07
12,5,6,"both",0,"type1_error",0.07,0.06,0.06,0.06,0.09,0.08,0.07,0.08,0.07,0.04,0.1
12,5,6,"prevalence",0,"type1_error",0.07,0.04,0.05,0.02,0.02,0.08,0.06,0.05,0.05,0.05,0.02
12,6,5,"abundance",0,"type1_error",0.05,0.04,0.03,0.03,0.04,0.07,0.08,0.05,0.1,0.02,0.01
12,6,5,"both",0,"type1_error",0.05,0.03,0.04,0.04,0.01,0.07,0.08,0.05,0.07,0.04,0.03
12,6,5,"prevalence",0,"type1_error",0.02,0.03,0.03,0.05,0.06,0.05,0.07,0.05,0.08,0.01,0.03
12,7,7,"abundance",0,"type1_error",0.04,0.08,0.1,0.06,0.04,0.06,0.06,0.05,0.06,0.08,0.08
12,7,7,"both",0,"type1_error",0.05,0.08,0.05,0.08,0.08,0.06,0.08,0.06,0.07,0.05,0.07
12,7,7,"prevalence",0,"type1_error",0.02,0.05,0.08,0.06,0.03,0.01,0.02,0.03,0.03,0.06,0.06
12,8,11,"abundance",0,"type1_error",0.08,0.04,0.07,0.02,0.04,0.03,0.04,0.04,0.02,0.1,0.06
12,8,11,"both",0,"type1_error",0.03,0.06,0.04,0.06,0.04,0.02,0.02,0.03,0.03,0.03,0.04
12,8,11,"prevalence",0,"type1_error",0.08,0.03,0.1,0.03,0.03,0.07,0.05,0.03,0.05,0.03,0.05
12,9,10,"abundance",0,"type1_error",0.07,0.07,0.02,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.07
12,9,10,"both",0,"type1_error",0.04,0.04,0.06,0.05,0.05,0.05,0.06,0.03,0.06,0.04,0.05
12,9,10,"prevalence",0,"type1_error",0.04,0.09,0.05,0.08,0.08,0.09,0.07,0.04,0.07,0.02,0.09
12,10,8,"abundance",0,"type1_error",0.05,0.07,0.04,0.04,0.04,0.06,0.01,0.01,0.02,0.04,0.04
12,10,8,"both",0,"type1_error",0.03,0.04,0.04,0.03,0.07,0.05,0.07,0.04,0.08,0.02,0.04
12,10,8,"prevalence",0,"type1_error",0.04,0.04,0.05,0.02,0.04,0.07,0.05,0.01,0.07,0.03,0.04
12,11,9,"abundance",0,"type1_error",0.02,0.08,0.04,0.08,0.08,0.04,0.07,0.03,0.05,0.02,0.08
12,11,9,"both",0,"type1_error",0.05,0.05,0.04,0.05,0.06,0.07,0.03,0.05,0.03,0.05,0.03
12,11,9,"prevalence",0,"type1_error",0.03,0.02,0.02,0.02,0.02,0.03,0.04,0.02,0.04,0.05,0.01
12,12,2,"abundance",0,"type1_error",0.05,0.08,0.07,0.05,0.07,0.09,0.07,0.08,0.07,0.05,0.08
12,12,2,"both",0,"type1_error",0.01,0.06,0.05,0.09,0.04,0.02,0.04,0.04,0.03,0.02,0.06
12,12,2,"prevalence",0,"type1_error",0.05,0.08,0.05,0.09,0.08,0.06,0.05,0.04,0.05,0.05,0.09
14,1,4,"abundance",0,"type1_error",0.06,0.06,0.04,0.07,0.04,0.07,0.07,0.08,0.07,0.01,0.05
14,1,4,"both",0,"type1_error",0.04,0.05,0.04,0.03,0.06,0.07,0.08,0.04,0.07,0.05,0.05
14,1,4,"prevalence",0,"type1_error",0.04,0.01,0.08,0.04,0.05,0.05,0.02,0.04,0.02,0.07,0.02
14,2,5,"abundance",0,"type1_error",0.08,0.04,0.06,0.05,0.04,0.08,0.04,0.03,0.04,0.1,0.04
14,2,5,"both",0,"type1_error",0.05,0.05,0.05,0.06,0.05,0.02,0.03,0.05,0.03,0.06,0.06
14,2,5,"prevalence",0,"type1_error",0.02,0.04,0.04,0.02,0.05,0.04,0.07,0.04,0.07,0.03,0.04
14,3,14,"abundance",0,"type1_error",0.07,0.05,0.04,0.07,0.06,0.1,0.05,0.08,0.06,0.07,0.05
14,3,14,"both",0,"type1_error",0.06,0.09,0.04,0.1,0.1,0.03,0.08,0.1,0.07,0.04,0.08
14,3,14,"prevalence",0,"type1_error",0.02,0.07,0.05,0.08,0.04,0.01,0.04,0.05,0.03,0.01,0.05
14,4,3,"abundance",0,"type1_error",0.04,0.08,0.03,0.07,0.04,0.06,0.08,0.1,0.07,0.04,0.08
14,4,3,"both",0,"type1_error",0.09,0.03,0.06,0.03,0.03,0.1,0.05,0.02,0.06,0.07,0.03
14,4,3,"prevalence",0,"type1_error",0.06,0.04,0.04,0.04,0.02,0.03,0.05,0.06,0.05,0.07,0.05
14,5,6,"abundance",0,"type1_error",0.06,0.04,0.05,0.04,0.08,0.07,0.06,0.05,0.06,0.03,0.06
14,5,6,"both",0,"type1_error",0.07,0.04,0.04,0.05,0.08,0.07,0.05,0.07,0.07,0.07,0.05
14,5,6,"prevalence",0,"type1_error",0.09,0.05,0.07,0.1,0.07,0.08,0.04,0.07,0.04,0.06,0.05
14,6,11,"abundance",0,"type1_error",0.04,0.01,0.04,0.05,0.04,0.02,0.02,0.04,0.03,0.04,0.03
14,6,11,"both",0,"type1_error",0.04,0.05,0.02,0.05,0.02,0.04,0.03,0.03,0.06,0.03,0.06
14,6,11,"prevalence",0,"type1_error",0.08,0.04,0.06,0.06,0.06,0.04,0.05,0.07,0.05,0.09,0.05
14,7,13,"abundance",0,"type1_error",0.03,0.05,0.07,0.05,0.05,0.05,0.06,0.04,0.03,0.03,0.06
14,7,13,"both",0,"type1_error",0.07,0.08,0.03,0.05,0.05,0.03,0.07,0.05,0.05,0.09,0.06
14,7,13,"prevalence",0,"type1_error",0.04,0.03,0.03,0.05,0.02,0.04,0.06,0.05,0.05,0.04,0.06
14,8,12,"abundance",0,"type1_error",0.06,0.02,0.06,0.05,0.05,0.07,0.06,0.06,0.05,0.08,0.05
14,8,12,"both",0,"type1_error",0.02,0.1,0.04,0.09,0.07,0.03,0.04,0.08,0.05,0.03,0.08
14,8,12,"prevalence",0,"type1_error",0.03,0.03,0.04,0.07,0.02,0.02,0.03,0.01,0.04,0.04,0.03
14,9,10,"abundance",0,"type1_error",0.02,0.02,0.02,0.03,0.06,0.04,0.03,0.03,0.04,0.04,0.02
14,9,10,"both",0,"type1_error",0.04,0.08,0.06,0.07,0.08,0.05,0.07,0.07,0.06,0.07,0.08
14,9,10,"prevalence",0,"type1_error",0.06,0.02,0.04,0.02,0.05,0.07,0.05,0.03,0.05,0.06,0.03
14,10,8,"abundance",0,"type1_error",0.07,0.04,0.04,0.05,0.06,0.07,0.07,0.05,0.09,0.06,0.05
14,10,8,"both",0,"type1_error",0.02,0.03,0.05,0.04,0.02,0.02,0.04,0.03,0.03,0.02,0.03
14,10,8,"prevalence",0,"type1_error",0.02,0.04,0.04,0.06,0.06,0.03,0.07,0.03,0.07,0,0.06
14,11,9,"abundance",0,"type1_error",0.04,0.02,0.07,0.02,0.02,0.06,0.06,0.03,0.07,0.07,0.01
14,11,9,"both",0,"type1_error",0.05,0.02,0.01,0.03,0.04,0.03,0.05,0.03,0.06,0.05,0.05
14,11,9,"prevalence",0,"type1_error",0.06,0.09,0.06,0.07,0.09,0.05,0.08,0.05,0.08,0.07,0.09
14,12,2,"abundance",0,"type1_error",0.03,0.04,0.06,0.04,0.05,0.05,0.08,0.07,0.08,0.02,0.05
14,12,2,"both",0,"type1_error",0.05,0.04,0.05,0.04,0,0.03,0.03,0.05,0.02,0.05,0.03
14,12,2,"prevalence",0,"type1_error",0.07,0.05,0.02,0.07,0.05,0.04,0.02,0.04,0.02,0.07,0.04
14,13,1,"abundance",0,"type1_error",0.01,0.08,0.03,0.09,0.06,0.07,0.09,0.08,0.08,0.05,0.08
14,13,1,"both",0,"type1_error",0.03,0.07,0.03,0.06,0.08,0.01,0.08,0.07,0.07,0.02,0.1
14,13,1,"prevalence",0,"type1_error",0.05,0.06,0.06,0.05,0.04,0.03,0.04,0.02,0.06,0.07,0.03
14,14,7,"abundance",0,"type1_error",0.02,0.02,0.04,0.02,0.02,0.03,0.02,0.01,0.02,0.04,0.01
14,14,7,"both",0,"type1_error",0.03,0.03,0.09,0.06,0.08,0.07,0.06,0.06,0.07,0.05,0.05
14,14,7,"prevalence",0,"type1_error",0.03,0.04,0.02,0.05,0.05,0.02,0.04,0.04,0.03,0.05,0.04
