"rep_id","setting_id","k","signal_cluster","cluster_ordered","cluster_abund_sum_template","cluster_n_otus_template","beta","is_null","n_samples","y_mean","signal_mean_abs","signal_sd_abs","seed_sim","seed_test","runtime_sec","p_GLaD_0.5_weighted","p_GLaD_0.5_unweighted","p_GLaD_1_weighted","p_GLaD_1_unweighted","p_euclidean","p_bray","p_jaccard","p_aitchison","p_unifrac_unweighted","p_unifrac_weighted_phyloseq","p_GUniFrac"
84,16,12,4,4,79.6953582744224,67,0.6,0,100,0.59,88.3238254823834,74.5772620358393,842361,2842361,9.04000000000002,0.425,0.069,0.747,0.339,0.172,0.032,0.028,0.03,0.051,0.209,0.082
84,17,12,5,2,133.044236791808,66,0.6,0,100,0.45,123.579047000722,137.578235239546,842362,2842362,8.41,0.042,0.46,0.081,0.392,0.112,0.064,0.1,0.314,0.333,0.033,0.068
84,18,12,6,11,5.27504110111664,23,0.6,0,100,0.47,3.17890828762576,4.59302643960921,842363,2842363,8.98099999999999,0.282,0.234,0.426,0.498,0.056,0.135,0.198,0.054,0.211,0.122,0.029
84,19,12,7,10,11.0732266185605,26,0.6,0,100,0.47,8.14949549435867,12.1945979279608,842364,2842364,8.45099999999999,0.814,0.856,0.805,0.323,0.465,0.763,0.744,0.626,0.861,0.85,0.898
84,20,12,8,1,293.178789576476,145,0.6,0,100,0.49,254.032070688484,167.052805708181,842365,2842365,9.06100000000001,0.001,0.454,0.002,0.895,0.001,0.001,0.001,0.393,0.458,0.001,0.002
84,21,12,9,3,106.715084324911,54,0.6,0,100,0.38,135.759804704891,152.353388068914,842366,2842366,8.46000000000001,0.471,0.761,0.604,0.542,0.838,0.836,0.858,0.641,0.794,0.429,0.515
84,22,12,10,6,68.7845374439054,53,0.6,0,100,0.52,64.3444336113345,53.9383113756977,842367,2842367,8.995,0.019,0.193,0.012,0.702,0.062,0.006,0.008,0.168,0.055,0.012,0.012
84,23,12,11,12,5.09634064688554,21,0.6,0,100,0.52,4.58563039186982,6.88722099246886,842368,2842368,9.31999999999999,0.954,0.846,0.821,0.699,0.898,0.795,0.795,0.676,0.823,0.782,0.587
84,24,12,12,9,12.7421518209905,20,0.6,0,100,0.53,10.7000980050673,12.4416179800679,842369,2842369,8.44799999999998,0.464,0.79,0.572,0.517,0.329,0.505,0.597,0.682,0.797,0.635,0.673
84,25,12,1,8,38.4045053101521,68,0.8,0,100,0.6,34.946444923613,34.7601397429353,842370,2842370,8.55899999999997,0.124,0.268,0.199,0.55,0.023,0.004,0.002,0.013,0.293,0.014,0.009
