"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
6,"both","GLaD_1_unweighted","abund_sum",0.0544,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
6,"both","GLaD_1_weighted","abund_sum",0.0618,600,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
6,"both","unifrac_unweighted","abund_sum",0.0423,600,87471.7473,NA,NA,"Unweighted UniFrac"
6,"both","unifrac_weighted_phyloseq","abund_sum",0.0565,600,87471.7473,NA,NA,"Weighted UniFrac"
6,"both","GUniFrac","abund_sum",0.0536,600,87471.7473,NA,NA,"GUniFrac"
6,"both","aitchison","abund_sum",0.0341,600,87471.7473,NA,NA,"Aitchison"
6,"both","bray","abund_sum",0.0474,600,87471.7473,NA,NA,"Bray-Curtis"
6,"both","euclidean","abund_sum",0.051,600,87471.7473,NA,NA,"Euclidean"
6,"both","jaccard","abund_sum",0.0498,600,87471.7473,NA,NA,"Jaccard"
6,"prevalence","GLaD_0.5_unweighted","abund_sum",0.0649,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
6,"prevalence","GLaD_0.5_weighted","abund_sum",0.0568,600,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
6,"prevalence","GLaD_1_unweighted","abund_sum",0.0474,600,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
6,"prevalence","GLaD_1_weighted","abund_sum",0.0481,600,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
6,"prevalence","unifrac_unweighted","abund_sum",0.073,600,87471.7473,NA,NA,"Unweighted UniFrac"
6,"prevalence","unifrac_weighted_phyloseq","abund_sum",0.0597,600,87471.7473,NA,NA,"Weighted UniFrac"
6,"prevalence","GUniFrac","abund_sum",0.0564,600,87471.7473,NA,NA,"GUniFrac"
6,"prevalence","aitchison","abund_sum",0.0603,600,87471.7473,NA,NA,"Aitchison"
6,"prevalence","bray","abund_sum",0.0602,600,87471.7473,NA,NA,"Bray-Curtis"
6,"prevalence","euclidean","abund_sum",0.0516,600,87471.7473,NA,NA,"Euclidean"
6,"prevalence","jaccard","abund_sum",0.0596,600,87471.7473,NA,NA,"Jaccard"
8,"abundance","GLaD_0.5_unweighted","abund_sum",0.0416,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
8,"abundance","GLaD_0.5_weighted","abund_sum",0.0501,800,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
8,"abundance","GLaD_1_unweighted","abund_sum",0.0508,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
8,"abundance","GLaD_1_weighted","abund_sum",0.0397,800,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
8,"abundance","unifrac_unweighted","abund_sum",0.0398,800,87471.7473,NA,NA,"Unweighted UniFrac"
8,"abundance","unifrac_weighted_phyloseq","abund_sum",0.0427,800,87471.7473,NA,NA,"Weighted UniFrac"
8,"abundance","GUniFrac","abund_sum",0.0404,800,87471.7473,NA,NA,"GUniFrac"
8,"abundance","aitchison","abund_sum",0.0436,800,87471.7473,NA,NA,"Aitchison"
8,"abundance","bray","abund_sum",0.0484,800,87471.7473,NA,NA,"Bray-Curtis"
8,"abundance","euclidean","abund_sum",0.0527,800,87471.7473,NA,NA,"Euclidean"
8,"abundance","jaccard","abund_sum",0.048,800,87471.7473,NA,NA,"Jaccard"
8,"both","GLaD_0.5_unweighted","abund_sum",0.056,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
8,"both","GLaD_0.5_weighted","abund_sum",0.0366,800,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
8,"both","GLaD_1_unweighted","abund_sum",0.058,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
8,"both","GLaD_1_weighted","abund_sum",0.0516,800,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
8,"both","unifrac_unweighted","abund_sum",0.0532,800,87471.7473,NA,NA,"Unweighted UniFrac"
8,"both","unifrac_weighted_phyloseq","abund_sum",0.0362,800,87471.7473,NA,NA,"Weighted UniFrac"
8,"both","GUniFrac","abund_sum",0.0384,800,87471.7473,NA,NA,"GUniFrac"
8,"both","aitchison","abund_sum",0.057,800,87471.7473,NA,NA,"Aitchison"
8,"both","bray","abund_sum",0.0249,800,87471.7473,NA,NA,"Bray-Curtis"
8,"both","euclidean","abund_sum",0.0468,800,87471.7473,NA,NA,"Euclidean"
8,"both","jaccard","abund_sum",0.0278,800,87471.7473,NA,NA,"Jaccard"
8,"prevalence","GLaD_0.5_unweighted","abund_sum",0.0481,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
8,"prevalence","GLaD_0.5_weighted","abund_sum",0.0532,800,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
8,"prevalence","GLaD_1_unweighted","abund_sum",0.0447,800,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
8,"prevalence","GLaD_1_weighted","abund_sum",0.048,800,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
8,"prevalence","unifrac_unweighted","abund_sum",0.0509,800,87471.7473,NA,NA,"Unweighted UniFrac"
8,"prevalence","unifrac_weighted_phyloseq","abund_sum",0.0462,800,87471.7473,NA,NA,"Weighted UniFrac"
8,"prevalence","GUniFrac","abund_sum",0.0442,800,87471.7473,NA,NA,"GUniFrac"
8,"prevalence","aitchison","abund_sum",0.0443,800,87471.7473,NA,NA,"Aitchison"
8,"prevalence","bray","abund_sum",0.0442,800,87471.7473,NA,NA,"Bray-Curtis"
8,"prevalence","euclidean","abund_sum",0.0429,800,87471.7473,NA,NA,"Euclidean"
8,"prevalence","jaccard","abund_sum",0.0448,800,87471.7473,NA,NA,"Jaccard"
2,"abundance","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.06,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
2,"abundance","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0602,200,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
2,"abundance","GLaD_1_unweighted","abund_sum_x_mean_abund",0.03,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
2,"abundance","GLaD_1_weighted","abund_sum_x_mean_abund",0.08,200,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
2,"abundance","unifrac_unweighted","abund_sum_x_mean_abund",0.0398,200,87471.7473,NA,NA,"Unweighted UniFrac"
2,"abundance","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0604,200,87471.7473,NA,NA,"Weighted UniFrac"
2,"abundance","GUniFrac","abund_sum_x_mean_abund",0.0502,200,87471.7473,NA,NA,"GUniFrac"
2,"abundance","aitchison","abund_sum_x_mean_abund",0.0605,200,87471.7473,NA,NA,"Aitchison"
2,"abundance","bray","abund_sum_x_mean_abund",0.0549,200,87471.7473,NA,NA,"Bray-Curtis"
2,"abundance","euclidean","abund_sum_x_mean_abund",0.0296,200,87471.7473,NA,NA,"Euclidean"
2,"abundance","jaccard","abund_sum_x_mean_abund",0.0498,200,87471.7473,NA,NA,"Jaccard"
2,"both","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0396,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
2,"both","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0344,200,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
2,"both","GLaD_1_unweighted","abund_sum_x_mean_abund",0.06,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
2,"both","GLaD_1_weighted","abund_sum_x_mean_abund",0.0296,200,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
2,"both","unifrac_unweighted","abund_sum_x_mean_abund",0.0496,200,87471.7473,NA,NA,"Unweighted UniFrac"
2,"both","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0444,200,87471.7473,NA,NA,"Weighted UniFrac"
2,"both","GUniFrac","abund_sum_x_mean_abund",0.0544,200,87471.7473,NA,NA,"GUniFrac"
2,"both","aitchison","abund_sum_x_mean_abund",0.0449,200,87471.7473,NA,NA,"Aitchison"
2,"both","bray","abund_sum_x_mean_abund",0.0649,200,87471.7473,NA,NA,"Bray-Curtis"
2,"both","euclidean","abund_sum_x_mean_abund",0.0446,200,87471.7473,NA,NA,"Euclidean"
2,"both","jaccard","abund_sum_x_mean_abund",0.0498,200,87471.7473,NA,NA,"Jaccard"
2,"prevalence","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0502,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
2,"prevalence","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0353,200,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
2,"prevalence","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0453,200,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
2,"prevalence","GLaD_1_weighted","abund_sum_x_mean_abund",0.0304,200,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
2,"prevalence","unifrac_unweighted","abund_sum_x_mean_abund",0.0698,200,87471.7473,NA,NA,"Unweighted UniFrac"
2,"prevalence","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0251,200,87471.7473,NA,NA,"Weighted UniFrac"
2,"prevalence","GUniFrac","abund_sum_x_mean_abund",0.0398,200,87471.7473,NA,NA,"GUniFrac"
2,"prevalence","aitchison","abund_sum_x_mean_abund",0.0398,200,87471.7473,NA,NA,"Aitchison"
2,"prevalence","bray","abund_sum_x_mean_abund",0.0249,200,87471.7473,NA,NA,"Bray-Curtis"
2,"prevalence","euclidean","abund_sum_x_mean_abund",0.0302,200,87471.7473,NA,NA,"Euclidean"
2,"prevalence","jaccard","abund_sum_x_mean_abund",0.02,200,87471.7473,NA,NA,"Jaccard"
4,"abundance","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0549,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
4,"abundance","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.034,400,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
4,"abundance","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0566,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
4,"abundance","GLaD_1_weighted","abund_sum_x_mean_abund",0.0254,400,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
4,"abundance","unifrac_unweighted","abund_sum_x_mean_abund",0.0593,400,87471.7473,NA,NA,"Unweighted UniFrac"
4,"abundance","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0348,400,87471.7473,NA,NA,"Weighted UniFrac"
4,"abundance","GUniFrac","abund_sum_x_mean_abund",0.0413,400,87471.7473,NA,NA,"GUniFrac"
4,"abundance","aitchison","abund_sum_x_mean_abund",0.0341,400,87471.7473,NA,NA,"Aitchison"
4,"abundance","bray","abund_sum_x_mean_abund",0.0414,400,87471.7473,NA,NA,"Bray-Curtis"
4,"abundance","euclidean","abund_sum_x_mean_abund",0.0321,400,87471.7473,NA,NA,"Euclidean"
4,"abundance","jaccard","abund_sum_x_mean_abund",0.0349,400,87471.7473,NA,NA,"Jaccard"
4,"both","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0435,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
4,"both","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0683,400,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
4,"both","GLaD_1_unweighted","abund_sum_x_mean_abund",0.0382,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 1)"
4,"both","GLaD_1_weighted","abund_sum_x_mean_abund",0.0765,400,87471.7473,NA,NA,"Weighted GLaD (rho = 1)"
4,"both","unifrac_unweighted","abund_sum_x_mean_abund",0.0486,400,87471.7473,NA,NA,"Unweighted UniFrac"
4,"both","unifrac_weighted_phyloseq","abund_sum_x_mean_abund",0.0592,400,87471.7473,NA,NA,"Weighted UniFrac"
4,"both","GUniFrac","abund_sum_x_mean_abund",0.0621,400,87471.7473,NA,NA,"GUniFrac"
4,"both","aitchison","abund_sum_x_mean_abund",0.0686,400,87471.7473,NA,NA,"Aitchison"
4,"both","bray","abund_sum_x_mean_abund",0.0513,400,87471.7473,NA,NA,"Bray-Curtis"
4,"both","euclidean","abund_sum_x_mean_abund",0.0431,400,87471.7473,NA,NA,"Euclidean"
4,"both","jaccard","abund_sum_x_mean_abund",0.0426,400,87471.7473,NA,NA,"Jaccard"
4,"prevalence","GLaD_0.5_unweighted","abund_sum_x_mean_abund",0.0538,400,87471.7473,NA,NA,"Unweighted GLaD (rho = 0.5)"
4,"prevalence","GLaD_0.5_weighted","abund_sum_x_mean_abund",0.0676,400,87471.7473,NA,NA,"Weighted GLaD (rho = 0.5)"
