"k","signal_mode","beta","signal_cluster","cluster_n_otus_template","method","power","n_nonmissing"
2,"abundance",0.65,1,308,"euclidean",0.37,100
2,"abundance",0.65,1,308,"jaccard",0.69,100
2,"abundance",0.65,1,308,"unifrac_unweighted",0.03,100
2,"abundance",0.65,1,308,"unifrac_weighted_phyloseq",0.97,100
2,"abundance",0.7,1,308,"GLaD_0.5_unweighted",0.08,100
2,"abundance",0.7,1,308,"GLaD_0.5_weighted",0.94,100
2,"abundance",0.7,1,308,"GLaD_1_unweighted",0.04,100
2,"abundance",0.7,1,308,"GLaD_1_weighted",0.97,100
2,"abundance",0.7,1,308,"GUniFrac",1,100
2,"abundance",0.7,1,308,"aitchison",0.21,100
2,"abundance",0.7,1,308,"bray",0.83,100
2,"abundance",0.7,1,308,"euclidean",0.33,100
2,"abundance",0.7,1,308,"jaccard",0.79,100
2,"abundance",0.7,1,308,"unifrac_unweighted",0.05,100
2,"abundance",0.7,1,308,"unifrac_weighted_phyloseq",0.98,100
2,"abundance",0.75,1,308,"GLaD_0.5_unweighted",0.12,100
2,"abundance",0.75,1,308,"GLaD_0.5_weighted",0.99,100
2,"abundance",0.75,1,308,"GLaD_1_unweighted",0.05,100
2,"abundance",0.75,1,308,"GLaD_1_weighted",0.99,100
2,"abundance",0.75,1,308,"GUniFrac",0.99,100
2,"abundance",0.75,1,308,"aitchison",0.26,100
2,"abundance",0.75,1,308,"bray",0.89,100
2,"abundance",0.75,1,308,"euclidean",0.47,100
2,"abundance",0.75,1,308,"jaccard",0.87,100
2,"abundance",0.75,1,308,"unifrac_unweighted",0.06,100
2,"abundance",0.75,1,308,"unifrac_weighted_phyloseq",0.99,100
2,"abundance",0.8,1,308,"GLaD_0.5_unweighted",0.03,100
2,"abundance",0.8,1,308,"GLaD_0.5_weighted",1,100
2,"abundance",0.8,1,308,"GLaD_1_unweighted",0.06,100
2,"abundance",0.8,1,308,"GLaD_1_weighted",1,100
2,"abundance",0.8,1,308,"GUniFrac",1,100
2,"abundance",0.8,1,308,"aitchison",0.27,100
2,"abundance",0.8,1,308,"bray",0.93,100
2,"abundance",0.8,1,308,"euclidean",0.51,100
2,"abundance",0.8,1,308,"jaccard",0.92,100
2,"abundance",0.8,1,308,"unifrac_unweighted",0.01,100
2,"abundance",0.8,1,308,"unifrac_weighted_phyloseq",1,100
2,"abundance",0.85,1,308,"GLaD_0.5_unweighted",0.02,100
2,"abundance",0.85,1,308,"GLaD_0.5_weighted",1,100
2,"abundance",0.85,1,308,"GLaD_1_unweighted",0.01,100
2,"abundance",0.85,1,308,"GLaD_1_weighted",1,100
2,"abundance",0.85,1,308,"GUniFrac",1,100
2,"abundance",0.85,1,308,"aitchison",0.23,100
