method,cluster_ordered,n,n_reject,estimate,conf.low,conf.high
Jaccard,5,100,5,0.05,0.02154367915436798,0.11175046923191911
Jaccard,6,100,1,0.01,0.0017674320641406435,0.054486196178705294
Jaccard,7,100,2,0.02,0.005501967550162357,0.07001179072854387
Jaccard,8,100,6,0.06,0.027786123963188185,0.12476815445895917
Jaccard,9,100,6,0.06,0.027786123963188185,0.12476815445895917
Jaccard,10,100,3,0.03,0.010254524024038925,0.08451936429052759
Jaccard,11,100,8,0.08,0.04109346148438063,0.14998107700948732
Jaccard,12,100,1,0.01,0.0017674320641406435,0.054486196178705294
Aitchison,1,100,4,0.04,0.015663303991547618,0.09837071435887917
Aitchison,2,100,2,0.02,0.005501967550162357,0.07001179072854387
Aitchison,3,100,8,0.08,0.04109346148438063,0.14998107700948732
Aitchison,4,100,10,0.1,0.0552291370606751,0.17436566150491345
Aitchison,5,100,7,0.07,0.034319261067272684,0.13749514739073498
Aitchison,6,100,3,0.03,0.010254524024038925,0.08451936429052759
Aitchison,7,100,1,0.01,0.0017674320641406435,0.054486196178705294
Aitchison,8,100,6,0.06,0.027786123963188185,0.12476815445895917
Aitchison,9,100,7,0.07,0.034319261067272684,0.13749514739073498
Aitchison,10,100,1,0.01,0.0017674320641406435,0.054486196178705294
Aitchison,11,100,3,0.03,0.010254524024038925,0.08451936429052759
Aitchison,12,100,7,0.07,0.034319261067272684,0.13749514739073498
"UniFrac, unweighted",1,100,4,0.04,0.015663303991547618,0.09837071435887917
"UniFrac, unweighted",2,100,5,0.05,0.02154367915436798,0.11175046923191911
"UniFrac, unweighted",3,100,5,0.05,0.02154367915436798,0.11175046923191911
"UniFrac, unweighted",4,100,8,0.08,0.04109346148438063,0.14998107700948732
"UniFrac, unweighted",5,100,7,0.07,0.034319261067272684,0.13749514739073498
"UniFrac, unweighted",6,100,5,0.05,0.02154367915436798,0.11175046923191911
"UniFrac, unweighted",7,100,2,0.02,0.005501967550162357,0.07001179072854387
"UniFrac, unweighted",8,100,8,0.08,0.04109346148438063,0.14998107700948732
"UniFrac, unweighted",9,100,5,0.05,0.02154367915436798,0.11175046923191911
"UniFrac, unweighted",10,100,4,0.04,0.015663303991547618,0.09837071435887917
"UniFrac, unweighted",11,100,8,0.08,0.04109346148438063,0.14998107700948732
"UniFrac, unweighted",12,100,4,0.04,0.015663303991547618,0.09837071435887917
"UniFrac, weighted",1,100,4,0.04,0.015663303991547618,0.09837071435887917
"UniFrac, weighted",2,100,7,0.07,0.034319261067272684,0.13749514739073498
"UniFrac, weighted",3,100,4,0.04,0.015663303991547618,0.09837071435887917
"UniFrac, weighted",4,100,2,0.02,0.005501967550162357,0.07001179072854387
"UniFrac, weighted",5,100,3,0.03,0.010254524024038925,0.08451936429052759
"UniFrac, weighted",6,100,3,0.03,0.010254524024038925,0.08451936429052759
"UniFrac, weighted",7,100,1,0.01,0.0017674320641406435,0.054486196178705294
"UniFrac, weighted",8,100,5,0.05,0.02154367915436798,0.11175046923191911
"UniFrac, weighted",9,100,4,0.04,0.015663303991547618,0.09837071435887917
"UniFrac, weighted",10,100,3,0.03,0.010254524024038925,0.08451936429052759
"UniFrac, weighted",11,100,5,0.05,0.02154367915436798,0.11175046923191911
"UniFrac, weighted",12,100,3,0.03,0.010254524024038925,0.08451936429052759
GUniFrac(0.5),1,100,2,0.02,0.005501967550162357,0.07001179072854387
GUniFrac(0.5),2,100,7,0.07,0.034319261067272684,0.13749514739073498
GUniFrac(0.5),3,100,5,0.05,0.02154367915436798,0.11175046923191911
GUniFrac(0.5),4,100,3,0.03,0.010254524024038925,0.08451936429052759
GUniFrac(0.5),5,100,5,0.05,0.02154367915436798,0.11175046923191911
GUniFrac(0.5),6,100,4,0.04,0.015663303991547618,0.09837071435887917
GUniFrac(0.5),7,100,3,0.03,0.010254524024038925,0.08451936429052759
GUniFrac(0.5),8,100,6,0.06,0.027786123963188185,0.12476815445895917
GUniFrac(0.5),9,100,4,0.04,0.015663303991547618,0.09837071435887917
GUniFrac(0.5),10,100,2,0.02,0.005501967550162357,0.07001179072854387
GUniFrac(0.5),11,100,5,0.05,0.02154367915436798,0.11175046923191911
GUniFrac(0.5),12,100,2,0.02,0.005501967550162357,0.07001179072854387
