"k","signal_cluster","cluster_ordered","signal_mode","beta","method","power","n_nonmissing"
2,1,1,"both",0.3,"GLaD_1_unweighted",0.77,100
2,1,1,"both",0.3,"GLaD_1_weighted",0.54,100
2,1,1,"both",0.3,"GUniFrac",0.62,100
2,1,1,"both",0.3,"aitchison",0.48,100
2,1,1,"both",0.3,"bray",0.32,100
2,1,1,"both",0.3,"euclidean",0.14,100
2,1,1,"both",0.3,"jaccard",0.27,100
2,1,1,"both",0.3,"unifrac_unweighted",0.58,100
2,1,1,"both",0.3,"unifrac_weighted_phyloseq",0.61,100
2,1,1,"both",0.35,"GLaD_0.5_unweighted",0.88,100
2,1,1,"both",0.35,"GLaD_0.5_weighted",0.57,100
2,1,1,"both",0.35,"GLaD_1_unweighted",0.91,100
2,1,1,"both",0.35,"GLaD_1_weighted",0.6,100
2,1,1,"both",0.35,"GUniFrac",0.81,100
2,1,1,"both",0.35,"aitchison",0.71,100
2,1,1,"both",0.35,"bray",0.32,100
2,1,1,"both",0.35,"euclidean",0.08,100
2,1,1,"both",0.35,"jaccard",0.32,100
2,1,1,"both",0.35,"unifrac_unweighted",0.72,100
2,1,1,"both",0.35,"unifrac_weighted_phyloseq",0.67,100
2,1,1,"both",0.4,"GLaD_0.5_unweighted",0.98,100
2,1,1,"both",0.4,"GLaD_0.5_weighted",0.77,100
2,1,1,"both",0.4,"GLaD_1_unweighted",0.96,100
2,1,1,"both",0.4,"GLaD_1_weighted",0.78,100
2,1,1,"both",0.4,"GUniFrac",0.94,100
2,1,1,"both",0.4,"aitchison",0.82,100
2,1,1,"both",0.4,"bray",0.47,100
2,1,1,"both",0.4,"euclidean",0.2,100
2,1,1,"both",0.4,"jaccard",0.45,100
2,1,1,"both",0.4,"unifrac_unweighted",0.87,100
2,1,1,"both",0.4,"unifrac_weighted_phyloseq",0.86,100
2,1,1,"both",0.45,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.45,"GLaD_0.5_weighted",0.87,100
2,1,1,"both",0.45,"GLaD_1_unweighted",1,100
2,1,1,"both",0.45,"GLaD_1_weighted",0.9,100
2,1,1,"both",0.45,"GUniFrac",0.98,100
2,1,1,"both",0.45,"aitchison",0.99,100
2,1,1,"both",0.45,"bray",0.6,100
2,1,1,"both",0.45,"euclidean",0.19,100
2,1,1,"both",0.45,"jaccard",0.59,100
2,1,1,"both",0.45,"unifrac_unweighted",0.98,100
2,1,1,"both",0.45,"unifrac_weighted_phyloseq",0.93,100
2,1,1,"both",0.5,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.5,"GLaD_0.5_weighted",0.98,100
2,1,1,"both",0.5,"GLaD_1_unweighted",0.99,100
2,1,1,"both",0.5,"GLaD_1_weighted",0.99,100
2,1,1,"both",0.5,"GUniFrac",1,100
2,1,1,"both",0.5,"aitchison",1,100
2,1,1,"both",0.5,"bray",0.76,100
2,1,1,"both",0.5,"euclidean",0.3,100
2,1,1,"both",0.5,"jaccard",0.75,100
2,1,1,"both",0.5,"unifrac_unweighted",1,100
2,1,1,"both",0.5,"unifrac_weighted_phyloseq",0.99,100
2,1,1,"both",0.55,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.55,"GLaD_0.5_weighted",0.96,100
2,1,1,"both",0.55,"GLaD_1_unweighted",1,100
2,1,1,"both",0.55,"GLaD_1_weighted",0.96,100
2,1,1,"both",0.55,"GUniFrac",1,100
2,1,1,"both",0.55,"aitchison",1,100
2,1,1,"both",0.55,"bray",0.85,100
2,1,1,"both",0.55,"euclidean",0.33,100
2,1,1,"both",0.55,"jaccard",0.84,100
2,1,1,"both",0.55,"unifrac_unweighted",1,100
2,1,1,"both",0.55,"unifrac_weighted_phyloseq",0.99,100
2,1,1,"both",0.6,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.6,"GLaD_0.5_weighted",0.98,100
2,1,1,"both",0.6,"GLaD_1_unweighted",1,100
2,1,1,"both",0.6,"GLaD_1_weighted",0.99,100
2,1,1,"both",0.6,"GUniFrac",1,100
2,1,1,"both",0.6,"aitchison",1,100
2,1,1,"both",0.6,"bray",0.93,100
2,1,1,"both",0.6,"euclidean",0.38,100
2,1,1,"both",0.6,"jaccard",0.91,100
2,1,1,"both",0.6,"unifrac_unweighted",1,100
2,1,1,"both",0.6,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",0.65,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.65,"GLaD_0.5_weighted",0.98,100
2,1,1,"both",0.65,"GLaD_1_unweighted",1,100
2,1,1,"both",0.65,"GLaD_1_weighted",0.98,100
2,1,1,"both",0.65,"GUniFrac",1,100
2,1,1,"both",0.65,"aitchison",1,100
2,1,1,"both",0.65,"bray",0.99,100
2,1,1,"both",0.65,"euclidean",0.48,100
2,1,1,"both",0.65,"jaccard",0.98,100
2,1,1,"both",0.65,"unifrac_unweighted",1,100
2,1,1,"both",0.65,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",0.7,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.7,"GLaD_0.5_weighted",1,100
2,1,1,"both",0.7,"GLaD_1_unweighted",1,100
2,1,1,"both",0.7,"GLaD_1_weighted",1,100
2,1,1,"both",0.7,"GUniFrac",1,100
2,1,1,"both",0.7,"aitchison",1,100
2,1,1,"both",0.7,"bray",0.98,100
2,1,1,"both",0.7,"euclidean",0.5,100
2,1,1,"both",0.7,"jaccard",0.98,100
2,1,1,"both",0.7,"unifrac_unweighted",1,100
2,1,1,"both",0.7,"unifrac_weighted_phyloseq",1,100
2,1,1,"both",0.75,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.75,"GLaD_0.5_weighted",0.99,100
2,1,1,"both",0.75,"GLaD_1_unweighted",1,100
2,1,1,"both",0.75,"GLaD_1_weighted",0.99,100
2,1,1,"both",0.75,"GUniFrac",1,100
2,1,1,"both",0.75,"aitchison",1,100
2,1,1,"both",0.75,"bray",0.99,100
2,1,1,"both",0.75,"euclidean",0.71,100
2,1,1,"both",0.75,"jaccard",0.99,100
2,1,1,"both",0.75,"unifrac_unweighted",1,100
2,1,1,"both",0.75,"unifrac_weighted_phyloseq",0.99,100
2,1,1,"both",0.8,"GLaD_0.5_unweighted",1,100
2,1,1,"both",0.8,"GLaD_0.5_weighted",1,100
2,1,1,"both",0.8,"GLaD_1_unweighted",1,100
2,1,1,"both",0.8,"GLaD_1_weighted",1,100
2,1,1,"both",0.8,"GUniFrac",1,100
